Time,B_BVP,E_Skin_Cond
28.86718750000,40.663,5.687
28.86767578125,40.741,5.687
28.86816406250,40.818,5.687
28.86865234375,40.894,5.687
28.86914062500,40.970,5.687
28.86962890625,41.045,5.687
28.87011718750,41.119,5.687
28.87060546875,41.193,5.687
28.87109375000,41.267,5.687
28.87158203125,41.339,5.686
28.87207031250,41.412,5.686
28.87255859375,41.483,5.686
28.87304687500,41.554,5.686
28.87353515625,41.624,5.686
28.87402343750,41.694,5.686
28.87451171875,41.763,5.686
28.87500000000,41.831,5.686
28.87548828125,41.899,5.686
28.87597656250,41.965,5.686
28.87646484375,42.032,5.686
28.87695312500,42.097,5.686
28.87744140625,42.162,5.686
28.87792968750,42.226,5.686
28.87841796875,42.290,5.686
28.87890625000,42.353,5.686
28.87939453125,42.415,5.686
28.87988281250,42.476,5.686
28.88037109375,42.537,5.686
28.88085937500,42.597,5.686
28.88134765625,42.656,5.686
28.88183593750,42.714,5.686
28.88232421875,42.772,5.686
28.88281250000,42.829,5.686
28.88330078125,42.885,5.686
28.88378906250,42.941,5.686
28.88427734375,42.996,5.686
28.88476562500,43.050,5.686
28.88525390625,43.103,5.686
28.88574218750,43.156,5.686
28.88623046875,43.208,5.686
28.88671875000,43.259,5.686
28.88720703125,43.309,5.686
28.88769531250,43.359,5.686
28.88818359375,43.408,5.686
28.88867187500,43.456,5.686
28.88916015625,43.503,5.686
28.88964843750,43.550,5.686
28.89013671875,43.596,5.686
28.89062500000,43.641,5.686
28.89111328125,43.685,5.685
28.89160156250,43.729,5.685
28.89208984375,43.772,5.685
28.89257812500,43.814,5.685
28.89306640625,43.855,5.685
28.89355468750,43.896,5.685
28.89404296875,43.936,5.685
28.89453125000,43.975,5.685
28.89501953125,44.014,5.685
28.89550781250,44.051,5.685
28.89599609375,44.088,5.685
28.89648437500,44.124,5.685
28.89697265625,44.160,5.685
28.89746093750,44.195,5.685
28.89794921875,44.229,5.685
28.89843750000,44.262,5.685
28.89892578125,44.295,5.685
28.89941406250,44.327,5.685
28.89990234375,44.358,5.685
28.90039062500,44.388,5.685
28.90087890625,44.418,5.685
28.90136718750,44.447,5.685
28.90185546875,44.476,5.685
28.90234375000,44.503,5.685
28.90283203125,44.530,5.685
28.90332031250,44.556,5.685
28.90380859375,44.582,5.685
28.90429687500,44.607,5.685
28.90478515625,44.631,5.685
28.90527343750,44.655,5.685
28.90576171875,44.678,5.685
28.90625000000,44.700,5.685
28.90673828125,44.722,5.684
28.90722656250,44.742,5.684
28.90771484375,44.763,5.684
28.90820312500,44.782,5.684
28.90869140625,44.801,5.684
28.90917968750,44.820,5.684
28.90966796875,44.837,5.684
28.91015625000,44.854,5.684
28.91064453125,44.871,5.684
28.91113281250,44.887,5.684
28.91162109375,44.902,5.684
28.91210937500,44.916,5.684
28.91259765625,44.930,5.684
28.91308593750,44.944,5.684
28.91357421875,44.956,5.684
28.91406250000,44.969,5.684
28.91455078125,44.980,5.684
28.91503906250,44.991,5.684
28.91552734375,45.002,5.684
28.91601562500,45.011,5.684
28.91650390625,45.021,5.684
28.91699218750,45.029,5.684
28.91748046875,45.037,5.684
28.91796875000,45.045,5.684
28.91845703125,45.052,5.684
28.91894531250,45.059,5.684
28.91943359375,45.065,5.684
28.91992187500,45.070,5.684
28.92041015625,45.075,5.684
28.92089843750,45.079,5.684
28.92138671875,45.083,5.684
28.92187500000,45.086,5.684
28.92236328125,45.089,5.683
28.92285156250,45.092,5.683
28.92333984375,45.093,5.683
28.92382812500,45.095,5.683
28.92431640625,45.096,5.683
28.92480468750,45.096,5.683
28.92529296875,45.096,5.683
28.92578125000,45.095,5.683
28.92626953125,45.094,5.683
28.92675781250,45.093,5.683
28.92724609375,45.091,5.683
28.92773437500,45.089,5.683
28.92822265625,45.086,5.683
28.92871093750,45.082,5.683
28.92919921875,45.079,5.683
28.92968750000,45.075,5.683
28.93017578125,45.070,5.683
28.93066406250,45.065,5.683
28.93115234375,45.060,5.683
28.93164062500,45.054,5.683
28.93212890625,45.048,5.683
28.93261718750,45.041,5.683
28.93310546875,45.034,5.683
28.93359375000,45.027,5.683
28.93408203125,45.019,5.683
28.93457031250,45.011,5.683
28.93505859375,45.003,5.683
28.93554687500,44.994,5.683
28.93603515625,44.985,5.683
28.93652343750,44.975,5.683
28.93701171875,44.965,5.683
28.93750000000,44.955,5.683
28.93798828125,44.944,5.682
28.93847656250,44.933,5.682
28.93896484375,44.922,5.682
28.93945312500,44.911,5.682
28.93994140625,44.899,5.682
28.94042968750,44.886,5.682
28.94091796875,44.874,5.682
28.94140625000,44.861,5.682
28.94189453125,44.848,5.682
28.94238281250,44.835,5.682
28.94287109375,44.821,5.682
28.94335937500,44.807,5.682
28.94384765625,44.792,5.682
28.94433593750,44.778,5.682
28.94482421875,44.763,5.682
28.94531250000,44.748,5.682
28.94580078125,44.733,5.682
28.94628906250,44.717,5.682
28.94677734375,44.701,5.682
28.94726562500,44.685,5.682
28.94775390625,44.668,5.682
28.94824218750,44.652,5.682
28.94873046875,44.635,5.682
28.94921875000,44.618,5.682
28.94970703125,44.600,5.681
28.95019531250,44.583,5.681
28.95068359375,44.565,5.681
28.95117187500,44.547,5.681
28.95166015625,44.528,5.681
28.95214843750,44.510,5.681
28.95263671875,44.491,5.681
28.95312500000,44.472,5.681
28.95361328125,44.453,5.681
28.95410156250,44.434,5.681
28.95458984375,44.415,5.681
28.95507812500,44.395,5.681
28.95556640625,44.375,5.681
28.95605468750,44.355,5.681
28.95654296875,44.335,5.681
28.95703125000,44.314,5.681
28.95751953125,44.294,5.681
28.95800781250,44.273,5.681
28.95849609375,44.252,5.681
28.95898437500,44.231,5.681
28.95947265625,44.210,5.681
28.95996093750,44.189,5.681
28.96044921875,44.167,5.681
28.96093750000,44.145,5.681
28.96142578125,44.124,5.681
28.96191406250,44.102,5.681
28.96240234375,44.080,5.681
28.96289062500,44.057,5.681
28.96337890625,44.035,5.681
28.96386718750,44.013,5.681
28.96435546875,43.990,5.681
28.96484375000,43.967,5.681
28.96533203125,43.944,5.681
28.96582031250,43.921,5.681
28.96630859375,43.898,5.681
28.96679687500,43.875,5.681
28.96728515625,43.852,5.681
28.96777343750,43.828,5.681
28.96826171875,43.805,5.681
28.96875000000,43.781,5.681
28.96923828125,43.757,5.680
28.96972656250,43.734,5.680
28.97021484375,43.710,5.680
28.97070312500,43.686,5.680
28.97119140625,43.662,5.680
28.97167968750,43.637,5.680
28.97216796875,43.613,5.680
28.97265625000,43.589,5.680
28.97314453125,43.565,5.680
28.97363281250,43.540,5.680
28.97412109375,43.516,5.680
28.97460937500,43.491,5.680
28.97509765625,43.466,5.680
28.97558593750,43.442,5.680
28.97607421875,43.417,5.680
28.97656250000,43.392,5.680
28.97705078125,43.367,5.680
28.97753906250,43.342,5.680
28.97802734375,43.317,5.680
28.97851562500,43.292,5.680
28.97900390625,43.267,5.680
28.97949218750,43.242,5.680
28.97998046875,43.217,5.680
28.98046875000,43.192,5.680
28.98095703125,43.167,5.679
28.98144531250,43.142,5.679
28.98193359375,43.117,5.679
28.98242187500,43.091,5.679
28.98291015625,43.066,5.679
28.98339843750,43.041,5.679
28.98388671875,43.016,5.679
28.98437500000,42.990,5.679
28.98486328125,42.965,5.679
28.98535156250,42.940,5.679
28.98583984375,42.915,5.679
28.98632812500,42.889,5.679
28.98681640625,42.864,5.679
28.98730468750,42.839,5.679
28.98779296875,42.813,5.679
28.98828125000,42.788,5.679
28.98876953125,42.763,5.679
28.98925781250,42.738,5.679
28.98974609375,42.712,5.679
28.99023437500,42.687,5.679
28.99072265625,42.662,5.679
28.99121093750,42.637,5.679
28.99169921875,42.611,5.679
28.99218750000,42.586,5.679
28.99267578125,42.561,5.679
28.99316406250,42.536,5.679
28.99365234375,42.511,5.679
28.99414062500,42.485,5.679
28.99462890625,42.460,5.679
28.99511718750,42.435,5.679
28.99560546875,42.410,5.679
28.99609375000,42.385,5.679
28.99658203125,42.360,5.678
28.99707031250,42.335,5.678
28.99755859375,42.310,5.678
28.99804687500,42.285,5.678
28.99853515625,42.260,5.678
28.99902343750,42.235,5.678
28.99951171875,42.210,5.678
29.00000000000,42.186,5.678
29.00048828125,42.161,5.678
29.00097656250,42.136,5.678
29.00146484375,42.111,5.678
29.00195312500,42.087,5.678
29.00244140625,42.062,5.678
29.00292968750,42.037,5.678
29.00341796875,42.013,5.678
29.00390625000,41.988,5.678
29.00439453125,41.963,5.678
29.00488281250,41.939,5.678
29.00537109375,41.915,5.678
29.00585937500,41.890,5.678
29.00634765625,41.866,5.678
29.00683593750,41.841,5.678
29.00732421875,41.817,5.678
29.00781250000,41.793,5.678
29.00830078125,41.768,5.677
29.00878906250,41.744,5.677
29.00927734375,41.720,5.677
29.00976562500,41.696,5.677
29.01025390625,41.672,5.677
29.01074218750,41.647,5.677
29.01123046875,41.623,5.677
29.01171875000,41.599,5.677
29.01220703125,41.575,5.677
29.01269531250,41.551,5.677
29.01318359375,41.527,5.677
29.01367187500,41.503,5.677
29.01416015625,41.479,5.677
29.01464843750,41.455,5.677
29.01513671875,41.431,5.677
29.01562500000,41.407,5.677
29.01611328125,41.384,5.677
29.01660156250,41.360,5.677
29.01708984375,41.336,5.677
29.01757812500,41.312,5.677
29.01806640625,41.288,5.677
29.01855468750,41.264,5.677
29.01904296875,41.240,5.677
29.01953125000,41.216,5.677
29.02001953125,41.193,5.677
29.02050781250,41.169,5.677
29.02099609375,41.145,5.677
29.02148437500,41.121,5.677
29.02197265625,41.097,5.677
29.02246093750,41.073,5.677
29.02294921875,41.049,5.677
29.02343750000,41.025,5.677
29.02392578125,41.001,5.677
29.02441406250,40.978,5.677
29.02490234375,40.954,5.677
29.02539062500,40.930,5.677
29.02587890625,40.906,5.677
29.02636718750,40.882,5.677
29.02685546875,40.857,5.677
29.02734375000,40.833,5.677
29.02783203125,40.809,5.676
29.02832031250,40.785,5.676
29.02880859375,40.761,5.676
29.02929687500,40.737,5.676
29.02978515625,40.712,5.676
29.03027343750,40.688,5.676
29.03076171875,40.664,5.676
29.03125000000,40.639,5.676
29.03173828125,40.615,5.676
29.03222656250,40.591,5.676
29.03271484375,40.566,5.676
29.03320312500,40.541,5.676
29.03369140625,40.517,5.676
29.03417968750,40.492,5.676
29.03466796875,40.467,5.676
29.03515625000,40.443,5.676
29.03564453125,40.418,5.676
29.03613281250,40.393,5.676
29.03662109375,40.368,5.676
29.03710937500,40.343,5.676
29.03759765625,40.318,5.676
29.03808593750,40.292,5.676
29.03857421875,40.267,5.676
29.03906250000,40.242,5.676
29.03955078125,40.217,5.676
29.04003906250,40.191,5.676
29.04052734375,40.166,5.676
29.04101562500,40.140,5.676
29.04150390625,40.114,5.676
29.04199218750,40.089,5.676
29.04248046875,40.063,5.676
29.04296875000,40.037,5.676
29.04345703125,40.011,5.675
29.04394531250,39.985,5.675
29.04443359375,39.959,5.675
29.04492187500,39.933,5.675
29.04541015625,39.907,5.675
29.04589843750,39.881,5.675
29.04638671875,39.855,5.675
29.04687500000,39.828,5.675
